borehole,depth,temperature
BR-02,81.473,32.593
BR-02,90.634,32.515
BR-02,102.851,32.375
BR-02,114.665,32.371
BR-02,123.966,32.411
BR-02,127.521,32.547
BR-02,128.88,32.632
BR-02,144.697,32.774
BR-02,153.323,32.893
BR-02,157.738,32.933
BR-02,160.618,33.14
BR-02,161.816,34.04
BR-02,162.895,34.794
BR-02,168.431,35.225
BR-02,170.606,35.479
BR-02,173.053,35.775
BR-02,175.195,36.097
BR-02,176.011,36.478
BR-02,178.453,36.774
BR-02,183.396,36.902
BR-02,188.104,37.055
BR-02,204.375,37.303
BR-02,206.611,37.433
BR-02,208.811,38.009
BR-02,212.712,38.235
BR-02,219.607,38.281
BR-02,221.115,38.958
BR-02,223.421,39.254
BR-02,225.316,39.862
BR-02,227.046,41.48
BR-02,228.875,42.122
BR-02,233.39,42.443
BR-02,240.862,42.739
BR-02,250.78,42.996
BR-02,267.15,43.2
BR-02,279.981,43.427
BR-02,284.054,43.426
BR-02,287.383,43.812
BR-02,291.189,44.15
BR-02,293.813,44.361
BR-02,299.489,45.038
BR-02,301.532,45.458
BR-02,303.74,45.679
BR-02,305.091,45.806
BR-02,307.855,45.159
BR-02,309.214,45.159
BR-02,312.781,45.415
BR-02,314.956,45.458
BR-02,317.164,45.446
BR-02,326.955,46.161
BR-02,336.874,46.823
BR-02,351.422,47.814
BR-02,365.184,48.789
BR-02,379.819,49.731
BR-02,396.09,50.941
BR-02,399.15,51.38
BR-02,414.276,52.455
BR-02,429.298,53.72
BR-02,441.227,54.549
BR-02,449.012,54.855
BR-02,452.27,55.193
BR-02,462.04,55.758
BR-02,473.553,56.925
BR-02,485.729,58.201
BR-02,497.835,59.914